"Nossa,",1.172,1.693
"nossa,",2.414,2.934
assim,3.415,3.956
você,4.016,4.476
me,4.576,4.696
mata,4.797,5.778
"Ai,",6.238,6.499
se,6.799,6.839
eu,6.859,6.999
te,7.099,7.219
"pego,",7.44,7.86
"ai,",8.141,8.381
"ai,",8.741,8.961
se,8.982,9.022
eu,9.342,9.502
te,9.602,9.722
"pego,",9.923,10.163
"vai,",10.243,10.443
delícia,10.804,11.545
"Delícia,",12.065,12.926
assim,13.407,13.928
você,13.988,14.429
me,14.449,14.609
mata,14.749,15.691
"Ai,",16.231,16.532
se,16.772,16.812
eu,16.832,16.992
te,17.073,17.193
"pego,",17.393,17.814
"ai,",18.114,18.374
"ai,",18.655,18.955
se,19.416,19.456
eu,19.476,19.616
te,19.716,19.797
"pego,",20.057,20.317
hein?,20.377,20.778
Um,30.935,31.035
sábado,31.156,31.898
na,32.42,32.821
balada.,33.042,34.065
A,36.385,36.666
galera,36.686,37.086
começou,37.207,37.888
a,37.948,38.028
dançar,38.168,40.693
E,41.374,41.494
passou,41.574,42.075
a,42.095,42.115
menina,42.215,42.877
mais,43.017,43.297
linda,43.357,44.018
Tomei,45.701,45.942
coragem,45.982,46.643
e,46.964,47.024
comecei,47.084,47.745
a,47.845,47.885
falar,48.025,48.486
Como,50.069,50.209
é,50.229,50.249
que,50.309,50.509
é?,50.569,50.609
Vai.,50.629,50.689
"Nossa,",51.169,51.73
"nossa,",52.431,52.911
assim,53.411,53.952
você,54.012,54.412
me,54.553,54.653
mata.,54.753,55.333
"Ai,",56.214,56.494
se,56.754,56.794
eu,56.815,56.955
te...,57.055,57.135
"Ai,",57.495,57.815
"ai,",58.115,58.335
se,58.355,58.976
eu,59.316,59.456
te,59.556,59.676
pego,59.896,60.356
"Delícia,",60.796,61.616
delícia,62.097,62.917
Assim,63.397,63.917
você,63.957,64.437
me,64.517,64.637
mata,64.737,65.678
"Ai,",66.238,66.538
se,66.758,66.818
eu,66.838,66.958
te,67.078,67.238
pego,67.398,67.798
"Ai,",68.119,68.439
"ai,",68.739,68.999
se,69.259,69.319
eu,69.339,69.459
te,69.579,69.699
pego,69.899,70.299
E,75.905,75.945
aí,76.285,77.587
E,78.108,78.829
aí,78.949,78.989
Sábado,81.13,81.852
na,82.393,82.714
"balada,",83.035,84.899
a,85.079,85.18
galera,85.24,87.104
começou,87.224,88.046
a,88.066,88.086
dançar.,88.207,88.628
E,91.353,91.513
passou,91.573,92.034
a,92.094,92.155
menina,92.215,92.836
mais,93.016,93.297
linda,93.337,94.078
Tomei,95.701,95.942
coragem,95.982,96.623
e,96.964,97.024
comecei,97.084,97.745
a,97.826,97.866
falar,98.026,98.547
"Nossa,",101.183,101.724
"nossa,",102.406,102.907
assim,103.408,103.929
você,103.989,104.49
me,104.55,104.67
mata,104.75,105.732
"Ai,",106.233,106.533
se,106.633,106.674
eu,106.834,106.974
te,107.074,107.215
"pego,",107.415,107.836
ai,108.096,108.377
"Ai,",108.757,109.017
se,109.257,109.317
eu,109.337,109.497
te,109.597,109.757
"pego,",109.897,110.358
"delícia,",110.818,111.678
"delícia,",112.098,112.898
assim,113.399,113.939
você,113.999,114.499
me,114.559,114.679
mata.,114.759,115.739
"Ai,",116.24,116.52
se,116.76,116.8
eu,116.82,116.94
te,117.08,117.24
"pego,",117.4,117.82
"ai,",118.12,118.34
"ai,",118.72,118.9
se,118.92,118.96
eu,119.401,119.521
te,119.641,119.741
"pego,",119.961,120.241
hein?,120.341,120.621
Eu,128.767,128.827
quero,128.847,129.007
ouvir,129.027,129.187
só,129.227,129.348
vocês,129.388,129.748
agora.,129.788,130.128
Nossa!,130.909,131.089
Nossa!,131.169,131.75
Assim,131.77,136.214
você,136.234,136.434
me,136.454,136.494
mata!,136.514,136.595
"Ai,",136.615,136.655
se,136.795,136.835
eu,136.855,137.015
te,137.095,137.215
pego...,137.415,138.136
"Delícia,",140.813,141.755
"delícia,",142.095,142.937
assim,143.378,143.918
você,143.979,144.459
me,144.539,144.66
mata,144.76,145.701
"Ai,",146.222,146.483
se,146.763,146.803
eu,146.823,146.963
te,147.084,147.204
"pego,",147.404,147.825
"ai,",148.125,148.346
"ai,",148.726,148.927
se,148.947,149.327
eu,149.387,149.528
te,149.628,149.748
"pego,",149.988,150.249
hein,150.329,150.549
Que,157.64,157.76
"delícia,",157.821,158.686
hein?,158.706,158.787
"Ai,",159.531,159.753
se,159.813,159.894
eu,159.934,159.994
te,160.035,160.095
pego!,160.256,160.658
